cluster,cluster_name,article_count,top_terms,top_journals,top_subjects
0,"Software Engineering, HCI and Information Systems",5433,"software, information, systems, web, data, based, research, engineering, software engineering, user, design, science software, engineering computer, systems computer, development, information systems, process, paper, applications, model",USER MODELING AND USER-ADAPTED INTERACTION (75); HUMAN-COMPUTER INTERACTION (73); COMPUTER APPLICATIONS IN ENGINEERING EDUCATION (71); INTERACTING WITH COMPUTERS (68); COMPUTERS & EDUCATION (67),"Computer Science, Software Engineering; Computer Science (933); Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science (548); Computer Science, Information Systems; Computer Science (514); Computer Science, Artificial Intelligence; Computer Science (246); Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science (185)"
1,"Computer Architecture, Cloud and High Performance Computing",3099,"architecture, computing, hardware, cloud, performance, hardware architecture, science hardware, architecture computer, security, systems, data, engineering, based, cloud computing, science theory, theory methods, theory, software, time, methods",INTEGRATION-THE VLSI JOURNAL (74); ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS (74); MICROPROCESSORS AND MICROSYSTEMS (68); INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS (68); ACM TRANSACTIONS ON COMPUTER SYSTEMS (68),"Computer Science, Hardware & Architecture; Computer Science, Software Engineering; Computer Science (394); Computer Science, Theory & Methods; Computer Science (387); Computer Science, Hardware & Architecture; Computer Science, Theory & Methods; Computer Science (253); Computer Science, Information Systems; Computer Science, Theory & Methods; Computer Science (156); Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods; Computer Science (140)"
2,"Information Systems, Library Science and Technology Management",674,"science library, library science, information science, library, information, business, technology, science information, systems information, information systems, research, information technology, acceptance, systems, management, perceived, model, economics, business economics, online",ONLINE INFORMATION REVIEW (76); JOURNAL OF MANAGEMENT INFORMATION SYSTEMS (76); JOURNAL OF STRATEGIC INFORMATION SYSTEMS (75); JOURNAL OF INFORMATION TECHNOLOGY (74); EUROPEAN JOURNAL OF INFORMATION SYSTEMS (69),"Computer Science, Information Systems; Information Science & Library Science; Management; Computer Science; Information Science & Library Science; Business & Economics (261); Computer Science, Information Systems; Information Science & Library Science; Computer Science; Information Science & Library Science (196); Computer Science, Information Systems; Computer Science (71); Business; Computer Science, Information Systems; Telecommunications; Business & Economics; Computer Science; Telecommunications (64); Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science (30)"
3,"Formal Methods, Logic and Programming Languages",1437,"logic, language, semantics, verification, theory, languages, checking, model, programs, programming, formal, systems, automata, theory methods, science theory, logic computer, software, methods, model checking, calculus",JOURNAL OF LOGIC AND COMPUTATION (75); FORMAL METHODS IN SYSTEM DESIGN (72); THEORY AND PRACTICE OF LOGIC PROGRAMMING (70); JOURNAL OF FUNCTIONAL PROGRAMMING (67); ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS (61),"Computer Science, Software Engineering; Computer Science (377); Computer Science, Theory & Methods; Logic; Computer Science; Science & Technology - Other Topics (198); Computer Science, Theory & Methods; Computer Science (195); Computer Science, Artificial Intelligence; Computer Science (108); Computer Science, Information Systems; Computer Science (106)"
4,Operations Research and Optimization,566,"operations research, research management, management science, operations, management, research, science operations, optimization, science computer, engineering operations, problem, problems, programming, algorithm, science mathematics, mathematics, method, decision, search, applications operations",COMPUTERS & OPERATIONS RESEARCH (76); INFORMS JOURNAL ON COMPUTING (76); NETWORKS (75); OPTIMIZATION METHODS & SOFTWARE (74); MATHEMATICAL PROGRAMMING (72),"Computer Science, Software Engineering; Operations Research & Management Science; Mathematics, Applied; Computer Science; Operations Research & Management Science; Mathematics (146); Computer Science, Interdisciplinary Applications; Engineering, Industrial; Operations Research & Management Science; Computer Science; Engineering; Operations Research & Management Science (76); Computer Science, Interdisciplinary Applications; Operations Research & Management Science; Computer Science; Operations Research & Management Science (76); Computer Science, Hardware & Architecture; Operations Research & Management Science; Computer Science; Operations Research & Management Science (75); Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research & Management Science; Computer Science; Operations Research & Management Science (69)"
5,Bioinformatics and Computational Biology,772,"biology, computational biology, mathematical computational, mathematical, computational, molecular, gene, molecular biology, protein, biochemistry, biochemistry molecular, biochemical, biochemical research, research methods, biology biochemistry, biology mathematical, biology computer, analysis, data, expression",JOURNAL OF MOLECULAR GRAPHICS & MODELLING (75); COMPUTERS IN BIOLOGY AND MEDICINE (75); BMC BIOINFORMATICS (73); BRIEFINGS IN BIOINFORMATICS (59); EVOLUTIONARY BIOINFORMATICS (56),"Mathematical & Computational Biology; Mathematical & Computational Biology (106); Biochemical Research Methods; Mathematical & Computational Biology; Biochemistry & Molecular Biology; Mathematical & Computational Biology (104); Biology; Computer Science, Interdisciplinary Applications; Engineering, Biomedical; Mathematical & Computational Biology; Life Sciences & Biomedicine - Other Topics; Computer Science; Engineering; Mathematical & Computational Biology (75); Biochemical Research Methods; Biochemistry & Molecular Biology; Computer Science, Interdisciplinary Applications; Crystallography; Mathematical & Computational Biology; Biochemistry & Molecular Biology; Computer Science; Crystallography; Mathematical & Computational Biology (75); Biochemical Research Methods; Biotechnology & Applied Microbiology; Mathematical & Computational Biology; Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Mathematical & Computational Biology (73)"
6,Wireless Sensor Networks,755,"sensor, sensor networks, wireless, wireless sensor, networks, energy, nodes, network, telecommunications, wsns, sensor network, node, lifetime, telecommunications computer, sensors, sensor nodes, wsn, data, routing, protocol",ACM TRANSACTIONS ON SENSOR NETWORKS (46); INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS (36); INTERNATIONAL JOURNAL OF SENSOR NETWORKS (33); AD HOC & SENSOR WIRELESS NETWORKS (32); AD HOC NETWORKS (29),"Computer Science, Information Systems; Telecommunications; Computer Science; Telecommunications (309); Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications; Computer Science; Engineering; Telecommunications (73); Telecommunications; Telecommunications (40); Computer Science, Hardware & Architecture; Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications; Computer Science; Engineering; Telecommunications (39); Computer Science, Theory & Methods; Computer Science (27)"
7,Telecommunications and Communication Networks,2158,"telecommunications, networks, network, wireless, engineering telecommunications, engineering, electronic telecommunications, channel, electrical, engineering electrical, electrical electronic, electronic, telecommunications computer, systems, telecommunications engineering, mobile, radio, performance, communication, power",IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (76); PHOTONIC NETWORK COMMUNICATIONS (75); IEEE TRANSACTIONS ON COMMUNICATIONS (75); IEEE COMMUNICATIONS MAGAZINE (72); IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS (66),"Engineering, Electrical & Electronic; Telecommunications; Engineering; Telecommunications (712); Computer Science, Information Systems; Telecommunications; Computer Science; Telecommunications (322); Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications; Computer Science; Engineering; Telecommunications (231); Telecommunications; Telecommunications (229); Computer Science, Hardware & Architecture; Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications; Computer Science; Engineering; Telecommunications (146)"
8,"Artificial Intelligence, Machine Learning and Computer Vision",6754,"algorithm, artificial, algorithms, intelligence, based, artificial intelligence, science artificial, method, methods, problem, proposed, intelligence computer, image, optimization, data, model, using, neural, paper, theory",NEURAL COMPUTATION (75); IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION (75); STATISTICS AND COMPUTING (74); EVOLUTIONARY COMPUTATION (74); JOURNAL OF MATHEMATICAL IMAGING AND VISION (74),"Computer Science, Artificial Intelligence; Computer Science (1144); Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Computer Science (646); Computer Science, Software Engineering; Computer Science (421); Computer Science, Information Systems; Computer Science (291); Computer Science, Theory & Methods; Computer Science (280)"
9,"Numerical Modeling, Simulation and Engineering Applications",899,"finite, element, method, finite element, numerical, interdisciplinary applications, interdisciplinary, equations, flow, applications, mechanics, engineering, multidisciplinary, mathematics, science interdisciplinary, model, boundary, fluid, element method, simulation",COMPUTERS & FLUIDS (75); CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES (73); COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING (72); COMPUTERS AND GEOTECHNICS (72); JOURNAL OF VISUALIZATION (57),"Computer Science, Interdisciplinary Applications; Geosciences, Multidisciplinary; Computer Science; Geology (81); Computer Science, Interdisciplinary Applications; Mechanics; Computer Science; Mechanics (75); Engineering, Multidisciplinary; Mathematics, Interdisciplinary Applications; Engineering; Mathematics (73); Computer Science, Interdisciplinary Applications; Engineering, Geological; Geosciences, Multidisciplinary; Computer Science; Engineering; Geology (72); Engineering, Multidisciplinary; Mathematics, Interdisciplinary Applications; Mechanics; Engineering; Mathematics; Mechanics (72)"
